Index,Long_Name,Stock1,Stock1 weight,Stock2,Stock2 weight,Stock4,Stock4 weight,Stock5,Stock5 weight,Stock6,Stock6 weight,Stock7,Stock7 weight,Stock8,Stock8 weight,Stock9,Stock9 weight,Stock10,Stock10 weight,Stock11,Stock11 weight,Stock12,Stock12 weight,Stock13,Stock13 weight,Stock14,Stock14 weight,Stock15,Stock15 weight,Stock16,Stock16 weight,Default Stock
TJI_REL_EST,TJI Real Estate,DLF.NS,0.01,GODREJPROP.NS,0.01,OBEROIRLTY.NS,0.01,PRESTIGE.NS,0.01,SOBHA.NS,0.01,SUNTECK.NS,0.01,BRIGADE.NS,0.01,LODHA.NS,0.01,PHOENIXLTD.NS,0.01,KRT.NS,.01,EMBASSY.NS,.01,BAGMANE.NS,.01,MINDSPACE.NS,.01,BIRET.NS,.01,,,^NSEI
TJI_PLYWd,TJI Plywood,GREENPLY.NS,0.01,CENTURYPLY.NS,0.01,GREENLAM.NS,0.01,GREENPANEL.NS,0.01,STYLAMIND.NS,0.01,RUSHIL.NS,0.01,,,,,,,,,,,,,,,,,,,^NSEI
TJI_Tiles,TJI Tiles,KAJARIACER.NS,0.01,SOMANYCERA.NS,0.01,CERA.NS,0.01,ASIANTILES.NS,0.01,NITCO.NS,0.01,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_Power,TJI Power,NTPC.NS,0.01,TATAPOWER.NS,0.01,RPOWER.NS,0.01,TORNTPOWER.NS,0.01,JSWENERGY.NS,0.01,NHPC.NS,0.01,ADANIPOWER.NS,0.01,POWERGRID.NS,0.01,NTPCGREEN.NS,0.01,ADANIGREEN.NS,0.01,NLCINDIA.NS,.01,CESC.NS,.01,,,,,,,^NSEI
TJI_Paint,TJI Paint,ASIANPAINT.NS,0.01,BERGEPAINT.NS,0.01,KANSAINER.NS,0.01,AKZOINDIA.NS,0.01,INDIGOPNTS.NS,0.01,SHALPAINTS.NS,0.01,KAMOPAINTS.NS,0.01,SIRCA.NS,0.01,,,,,,,,,,,,,,,^NSEI
TJI_CrdOIL,TJI Crude Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_OL_REF,TJI Oil Refiners,HINDPETRO.NS,0.01,ONGC.NS,0.01,RELIANCE.NS,0.01,IOC.NS,0.01,MRPL.NS,0.01,BPCL.NS,0.01,PANAMAPET.NS,.01,CHENNPETRO.NS,.01,,,,,,,,,,,,,,,^NSEI
TJI_FERT,TJI Fertilizer,FACT.NS,0.01,COROMANDEL.NS,0.01,RCF.NS,0.01,NFL.NS,0.01,GSFC.NS,0.01,PARADEEP.NS,0.01,,,,,,,,,,,,,,,,,,,^NSEI
TJI_CITY-GAS,TJI City Gas,GAIL.NS,0.01,ATGL.NS,0.01,PETRONET.NS,0.01,GUJGASLTD.NS,0.01,IGL.NS,0.01,MGL.NS,0.01,,,,,,,,,,,,,,,,,,,^NSEI
TJI_ComEQPT,TJI Comm Equip,DLINKINDIA.NS,0.01,STLTECH.NS,0.01,TEJASNET.NS,0.01,INDUSTOWER.NS,0.01,ITI.NS,0.01,NELCO.NS,0.01,HFCL.NS,0.01,SUYOG.NS,0.01,,,,,,,,,,,,,,,^NSEI
TJI_Telecom,TJI Telecom,TATACOMM.NS,0.01,BHARTIARTL.NS,0.01,IDEA.NS,0.01,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_CONS-GOODS,TJI Consumer Goods,VOLTAS.NS,0.01,BLUESTARCO.NS,0.01,WHIRLPOOL.NS,0.01,EUREKAFORB.NS,0.01,SYMPHONY.NS,0.01,IFBIND.NS,0.01,BAJAJELEC.NS,0.01,CROMPTON.NS,0.01,TTKPRESTIG.NS,0.01,STOVEKRAFT.NS,0.01,HAWKINCOOK.NS,0.01,CELLO.NS,0.01,LAOPALA.NS,0.01,,,,,^NSEI
TJI_BRG,TJI Bearing,SCHAEFFLER.NS,0.01,TIMKEN.NS,0.01,SKFINDIA.NS,0.01,NRBBEARING.NS,0.01,GALXBRG.BO,0.01,TIMKEN.NS,0.01,SKFINDUS.NS,0.01,,,,,,,,,,,,,,,,,^NSEI
TJI_HOSPTAL,TJI Hospitals,MAXHEALTH.NS,0.01,MEDANTA.NS,0.01,RAINBOW.NS,0.01,JLHL.NS,0.01,ASTERDM.NS,0.01,APOLLOHOSP.NS,0.01,FORTIS.NS,0.01,NH.NS,0.01,KOVAI.BO,0.01,YATHARTH.NS,0.01,SAKAR.NS,0.01,KMCSHIL.NS,0.01,MANIPALHOS.NS,0.01,KIMS.NS,0.01,HCG.NS,0.01,^NSEI
TJI_DIAGC,TJI Diagno Chains,LALPATHLAB.NS,0.01,THYROCARE.NS,0.01,VIJAYA.NS,0.01,METROPOLIS.NS,0.01,3BBLACKBIO.NS,0.01,KRSNAA.NS,0.01,SURAKSHA.NS,0.01,,,,,,,,,,,,,,,,,^NSEI
TJI_PHARMA,TJI Pharma,SUNPHARMA.NS,0.01,CIPLA.NS,0.01,DRREDDY.NS,0.01,LUPIN.NS,0.01,IPCALAB.NS,0.01,AUROPHARMA.NS,0.01,APLLTD.NS,0.01,CIPLA.NS,0.01,TORNTPHARM.NS,0.01,,,,,,,,,,,,,^NSEI
TJI_Metal,TJI Metal,HINDCOPPER.NS,0.01,JSWSTEEL.NS,0.01,TATASTEEL.NS,0.01,SAIL.NS,0.01,HINDZINC.NS,0.01,HINDALCO.NS,0.01,VEDL.NS,0.01,JINDALSTEL.NS,0.01,NMDC.NS,0.01,NATIONALUM.NS,0.01,MOIL.NS,0.01,KIOCL.NS,0.01,GMDCLTD.NS,0.01,ASHAPURMIN.NS,0.01,,,^NSEI
TJI_Pipe,TJI Pipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_mPIP,TJI Metal Pipes,VENUSPIPES.NS,0.01,HITECH.NS,0.01,APLAPOLLO.NS,0.01,HARIOMPIPE.NS,0.01,JAIBALAJI.NS,0.05,JTLIND.NS,0.05,YASHO.BO,0.01,,,,,,,,,,,,,,,,,^NSEI
TJI_pPIP,TJI Plastic Pipes,FINPIPE.NS,0.01,ASTRAL.NS,0.01,SUPREMEIND.NS,0.01,RESPONIND.NS,0.01,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_Paper,TJI Paper&Board,JKPAPER.NS,0.01,WSTCSTPAPR.NS,0.01,ANDHRAPAP.NS,0.01,PDMJEPAPER.NS,0.01,SESHAPAPER.NS,0.01,TNPL.NS,0.01,KUANTUM.NS,0.01,TNPL.NS,0.01,,,,,,,,,,,,,,,^NSEI
TJI_agCHE,TJI AgroChemical,PIIND.NS,0.01,UPL.NS,0.01,SUMICHEM.NS,0.01,INSECTICID.NS,0.01,BAYERCROP.NS,0.01,BASF.NS,0.01,BESTAGRO.NS,0.01,DHANUKA.NS,0.01,HERANBA.NS,0.01,DHARMAJ.NS,0.01,,,,,,,,,,,^NSEI
TJI_alkCHE,TJI Alkali Chemicals,TATACHEM.NS,0.01,GHCL.NS,0.01,DCW.NS,0.01,GUJALKALI.NS,0.01,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_DyesPig,TJI Dyes&Pigments,SUDARSCHEM.NS,0.01,KIRIINDUS.NS,0.01,VIDHIING.NS,0.01,BHAGERIA.NS,0.01,DYNPRO.NS,0.01,BODALCHEM.BO,0.01,SHREEPUSHK.NS,.01,ULTRAMAR.NS,.01,SUDARCOLOR.NS,.01,,,,,,,,,,,,,^NSEI
TJI_Spl_CHEM,TJI Spl Chemicals,VINATIORGA.NS,0.01,AARTIIND.NS,0.01,NAVINFLUOR.NS,0.01,BALAMINES.NS,0.01,ATUL.NS,0.01,TATVA.NS,0.01,CLEAN.NS,0.01,ALKYLAMINE.NS,0.01,PAUSHAKLTD.BO,0.01,DEEPAKNTR.NS,0.01,,,,,,,,,,,^NSEI
TJI_Suger,TJI Sugar,BALRAMCHIN.NS,0.01,DALBHARAT.NS,0.01,RENUKA.NS,0.01,DCMSHRIRAM.NS,0.01,DHAMPURSUG.NS,0.01,EIDPARRY.NS,0.01,BANARISUG.NS,0.01,DALMIASUG.NS,0.01,BAJAJHIND.NS,0.01,GODAVARIB.NS,0.01,MVKAGRO.NS,0.01,,,,,,,,,^NSEI
TJI_TEXTL,TJI Textile,TRIDENT.NS,0.01,ARVIND.NS,0.01,ICIL.NS,0.01,KPRMILL.NS,0.01,NDL.NS,0.01,AMBIKCO.NS,0.01,RSWM.NS,0.01,KITEX.NS,0.01,WELSPUNLIV.NS,0.01,,,,,,,,,,,,,^NSEI
TJI_Tyre,TJI Tyre,JKTYRE.NS,0.01,CEATLTD.NS,0.01,MRF.NS,0.01,APOLLOTYRE.NS,0.01,BALKRISIND.NS,0.01,GOODYEAR.NS,0.01,TVSSRICHAK.NS,0.01,,,,,,,,,,,,,,,,,^NSEI
TJI_CapMk,TJI Capital Mkt,MCX.NS,0.01,BSE.NS,0.01,CDSL.NS,0.01,KFINTECH.NS,0.01,CAMS.NS,0.01,NSDL.BO,.01,BEACON.NS,.01,,,,,,,,,,,,,,,,,^NSEI
TJI_leather,TJI leather,BATAINDIA.NS,0.01,RELAXO.NS,0.01,CAMPUS.NS,0.01,LIBERTSHOE.NS,0.01,KHADIM.NS,0.01,METROBRAND.NS,0.01,REDTAPE.NS,0.01,MAYURUNIQ.NS,0.01,,,,,,,,,,,,,,,^NSEI
TJI_DryC,TJI Dry Cell,EVEREADY.NS,0.01,ARE&M.NS,0.01,NIPPOBATRY.NS,0.01,EXIDEIND.NS,0.01,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_Pkg,TJI Pakag,EPL.NS,0.01,MOLDTKPAC.NS,0.01,COSMOFIRST.NS,0.01,TCPLPACK.NS,0.01,POLYPLEX.NS,0.01,UFLEX.NS,0.01,AGI.NS,0.01,XPROINDIA.NS,0.01,ESTER.NS,0.01,,,,,,,,,,,,,^NSEI
TJI_Tobac,TJI Tobacco,ITC.NS,0.01,GODFRYPHLP.NS,0.01,VSTIND.NS,0.01,NTCIND.BO,0.01,ELITECON.BO,0.01,,,,,,,,,,,,,,,,,,,,,^NSEI
